2 20 20 1000
0.88 0.3 3.02115 9.19487
0.88 0.31 3.02007 9.18341
0.88 0.32 3.01751 9.16316
0.88 0.33 3.01431 9.13956
0.88 0.34 3.01075 9.11457
0.88 0.35 3.00844 9.09707
0.88 0.36 3.00712 9.08602
0.88 0.37 3.00546 9.07304
0.88 0.38 3.00486 9.06702
0.88 0.39 3.00346 9.05614
0.88 0.4 3.00028 9.03447
0.88 0.41 2.99909 9.02533
0.88 0.42 2.99886 9.02235
0.88 0.43 2.99786 9.0149
0.88 0.44 2.99711 9.00913
0.88 0.45 2.99544 8.99816
0.88 0.46 2.99503 8.99477
0.88 0.47 2.99459 8.99147
0.88 0.48 2.99391 8.98683
0.88 0.49 2.99329 8.98271
0.89 0.3 3.01807 9.16951
0.89 0.31 3.01605 9.15246
0.89 0.32 3.01346 9.13243
0.89 0.33 3.01073 9.11242
0.89 0.34 3.00729 9.08812
0.89 0.35 3.00564 9.07478
0.89 0.36 3.00397 9.06168
0.89 0.37 3.00408 9.06002
0.89 0.38 3.00201 9.04485
0.89 0.39 3.00058 9.03392
0.89 0.4 2.99926 9.02397
0.89 0.41 2.99824 9.01613
0.89 0.42 2.99727 9.00874
0.89 0.43 2.99576 8.99857
0.89 0.44 2.99514 8.99378
0.89 0.45 2.99437 8.98826
0.89 0.46 2.99366 8.9833
0.89 0.47 2.99302 8.97889
0.89 0.48 2.99279 8.97711
0.89 0.49 2.9924 8.97455
0.9 0.3 3.01473 9.14327
0.9 0.31 3.01294 9.12787
0.9 0.32 3.00933 9.10237
0.9 0.33 3.00664 9.08248
0.9 0.34 3.00434 9.06508
0.9 0.35 3.0035 9.05719
0.9 0.36 3.00201 9.0454
0.9 0.37 2.99984 9.02947
0.9 0.38 2.9994 9.0247
0.9 0.39 2.99814 9.01511
0.9 0.4 2.99737 9.00864
0.9 0.41 2.99642 9.00144
0.9 0.42 2.99501 8.9918
0.9 0.43 2.9944 8.98701
0.9 0.44 2.99368 8.98182
0.9 0.45 2.99311 8.97763
0.9 0.46 2.99249 8.97337
0.9 0.47 2.99213 8.97086
0.9 0.48 2.99189 8.96922
